read1,read2,ns-diff
4228,4277,-102.901563
4270,4312,-88.201339
4221,4298,-161.702455
4284,4284,0.000000
4186,4298,-235.203572
4228,4256,-58.800893
4179,4249,-147.002232
4235,4298,-132.302009
4319,4494,-367.505581
4291,4389,-205.803125
4326,4389,-132.302009
4389,4298,191.102902
4242,4305,-132.302009
4599,4305,617.409375
4452,4319,279.304241
4606,4277,690.910491
4452,4648,-411.606250
4242,4277,-73.501116
4228,4333,-220.503348
4284,4270,29.400446
4193,4270,-161.702455
4508,4291,455.706920
4305,4298,14.700223
4249,4291,-88.201339
4459,4305,323.404911
4445,4298,308.704688
4249,4305,-117.601786
4277,4228,102.901563
4207,4200,14.700223
4270,4291,-44.100670
4193,4270,-161.702455
4284,4270,29.400446
4228,4277,-102.901563
4228,4298,-147.002232
4452,4396,117.601786
4249,4284,-73.501116
4333,4312,44.100670
4410,4305,220.503348
4214,4298,-176.402679
4242,4291,-102.901563
4228,4298,-147.002232
4487,4291,411.606250
4207,4305,-205.803125
4494,4319,367.505581
4515,4305,441.006697
4256,4291,-73.501116
4214,4277,-132.302009
4221,4319,-205.803125
4207,4228,-44.100670
4256,4949,-1455.322099
4795,4277,1087.816518
4270,4270,0.000000
4340,4333,14.700223
4270,4312,-88.201339
4214,4389,-367.505581
4284,4291,-14.700223
4466,4291,367.505581
4249,4368,-249.903795
4291,4284,14.700223
4249,4298,-102.901563
4235,4389,-323.404911
4256,4263,-14.700223
4228,4277,-102.901563
4270,4298,-58.800893
4333,4291,88.201339
4256,4256,0.000000
4256,4326,-147.002232
4263,4256,14.700223
4221,4326,-220.503348
4263,4270,-14.700223
4354,4249,220.503348
4242,4319,-161.702455
4256,4298,-88.201339
4935,4284,1367.120760
4221,4319,-205.803125
4284,4291,-14.700223
4242,4326,-176.402679
4466,4291,367.505581
4200,4305,-220.503348
4263,4613,-735.011161
4221,4375,-323.404911
4214,4284,-147.002232
4186,4305,-249.903795
4298,4249,102.901563
4193,4298,-220.503348
4270,4277,-14.700223
4235,4256,-44.100670
4228,4305,-161.702455
4459,4284,367.505581
4270,4291,-44.100670
4235,4305,-147.002232
4291,4291,0.000000
4319,4200,249.903795
4991,4305,1440.621876
4186,4431,-514.507813
4361,4298,132.302009
4361,4459,-205.803125
4298,4291,14.700223
4340,4277,132.302009
4249,4284,-73.501116
4319,4340,-44.100670
4613,4284,690.910491
4228,4312,-176.402679
4256,4298,-88.201339
4557,4305,529.208036
4291,4298,-14.700223
4242,4291,-102.901563
4263,4284,-44.100670
4550,4319,485.107366
4494,4312,382.205804
4200,4403,-426.306473
4242,4389,-308.704688
4249,4228,44.100670
4662,8708,-8496.729022
4704,4347,749.711384
4235,4256,-44.100670
4200,4319,-249.903795
4263,4242,44.100670
4207,4284,-161.702455
4256,4242,29.400446
4466,4284,382.205804
4263,4396,-279.304241
4242,4431,-396.906027
4242,4256,-29.400446
4214,4284,-147.002232
4284,4319,-73.501116
4235,4263,-58.800893
4221,4277,-117.601786
4333,4298,73.501116
4249,4291,-88.201339
4242,4382,-294.004464
4270,4305,-73.501116
4536,4305,485.107366
4242,4515,-573.308706
4235,4389,-323.404911
4340,4284,117.601786
4242,4368,-264.604018
4459,4263,411.606250
4256,4333,-161.702455
4270,4627,-749.711384
4214,4312,-205.803125
4298,4319,-44.100670
4200,4816,-1293.619643
4277,4305,-58.800893
4452,4326,264.604018
4228,4263,-73.501116
4242,5187,-1984.530135
4249,4256,-14.700223
4396,4312,176.402679
4249,4424,-367.505581
4214,4298,-176.402679
4242,4270,-58.800893
4249,4298,-102.901563
4487,4312,367.505581
4186,4333,-308.704688
4291,4270,44.100670
4193,4228,-73.501116
4270,4291,-44.100670
4319,4284,73.501116
4263,4284,-44.100670
4179,4298,-249.903795
4291,4298,-14.700223
4263,4305,-88.201339
4256,4291,-73.501116
4249,4277,-58.800893
